Fecha,Referencia,Beneficiario,Cargo,Abono
2024-02-27,REF-1047,Nomina Quincenal,0.00,25000.00
2024-02-28,REF-1048,Venta Mostrador,890.00,0.00
2024-02-29,REF-1049,Gasolinera Norte,0.00,1100.00
2024-03-01,REF-1050,Cliente Corporativo Y,14500.00,0.00
2024-03-02,REF-1051,Seguro de Auto,0.00,3400.00
2024-03-03,REF-1052,Venta Online #44,2100.00,0.00
2024-03-04,REF-1053,Proveedor Muebles,0.00,6700.00
2024-03-05,REF-1054,Reembolso Gastos Viaje,0.00,1500.00
2024-03-06,REF-1055,Cliente Z,4200.00,0.00
2024-03-07,REF-1056,Suscripcion Software,0.00,500.00
2024-03-08,REF-1057,Proveedor Papeleria S.A.,0.00,2500.00
2024-03-09,REF-1058,Cliente Juan Perez,1500.00,0.00
2024-03-10,REF-1059,Servicios de Limpieza,0.00,800.00
2024-03-11,REF-1060,Venta de Producto A,3200.00,0.00
2024-03-12,REF-1061,Compra Insumos Cafe,0.00,450.00
2024-03-13,REF-1062,Mantenimiento PC,0.00,1200.00
2024-03-14,REF-1063,Cliente Empresa X,5600.00,0.00
2024-03-15,REF-1064,Pago Luz CFE,0.00,2300.00
2024-03-16,REF-1065,Nomina Quincenal,0.00,25000.00
2024-03-17,REF-1066,Venta Mostrador,890.00,0.00
2024-03-18,REF-1067,Gasolinera Norte,0.00,1100.00
2024-03-19,REF-1068,Cliente Corporativo Y,14500.00,0.00
2024-03-20,REF-1069,Seguro de Auto,0.00,3400.00
2024-03-21,REF-1070,Venta Online #44,2100.00,0.00
2024-03-22,REF-1071,Proveedor Muebles,0.00,6700.00
2024-03-23,REF-1072,Reembolso Gastos Viaje,0.00,1500.00
2024-03-24,REF-1073,Cliente Z,4200.00,0.00
2024-03-25,REF-1074,Suscripcion Software,0.00,500.00
2024-03-26,REF-1075,Proveedor Papeleria S.A.,0.00,2500.00
2024-03-27,REF-1076,Cliente Juan Perez,1500.00,0.00
2024-03-28,REF-1077,Servicios de Limpieza,0.00,800.00
2024-03-29,REF-1078,Venta de Producto A,3200.00,0.00
2024-03-30,REF-1079,Compra Insumos Cafe,0.00,450.00
2024-04-01,REF-1080,Mantenimiento PC,0.00,1200.00
2024-04-02,REF-1081,Cliente Empresa X,5600.00,0.00
2024-04-03,REF-1082,Pago Luz CFE,0.00,2300.00
2024-04-04,REF-1083,Nomina Quincenal,0.00,25000.00
2024-04-05,REF-1084,Venta Mostrador,890.00,0.00
2024-04-06,REF-1085,Gasolinera Norte,0.00,1100.00
2024-04-07,REF-1086,Cliente Corporativo Y,14500.00,0.00
2024-04-08,REF-1087,Seguro de Auto,0.00,3400.00
2024-04-09,REF-1088,Venta Online #44,2100.00,0.00
2024-04-10,REF-1089,Proveedor Muebles,0.00,6700.00
2024-04-11,REF-1090,Reembolso Gastos Viaje,0.00,1500.00
2024-04-12,REF-1091,Cliente Z,4200.00,0.00
2024-04-13,REF-1092,Suscripcion Software,0.00,500.00
2024-04-14,REF-1093,Cheque en Transito 1,0.00,1000.00
2024-04-15,REF-1094,Cheque en Transito 2,0.00,2000.00
2024-04-16,REF-1095,Cheque en Transito 3,0.00,3000.00
2024-04-17,REF-1096,Deposito en Transito A,4000.00,0.00
2024-04-18,REF-1097,Deposito en Transito B,5000.00,0.00
2024-04-19,REF-1098,Cheque no Cobrado,0.00,150.00
2024-04-20,REF-1099,Error de Registro,0.00,10.00
