Fecha,Referencia,Concepto_Banco,Retiro,Deposito
2024-02-15,REF-1034,Venta E-commerce,0.00,2100.00
2024-02-16,REF-1035,Cheque Pagado,6700.00,0.00
2024-02-17,REF-1036,Retiro Cajero,1500.00,0.00
2024-02-18,REF-1037,Deposito Cheque,0.00,4200.00
2024-02-19,REF-1038,Cargo Recurrente,500.00,0.00
2024-02-20,REF-1039,Cheque cobrado camara,2500.00,0.00
2024-02-21,REF-1040,Deposito Ventanilla,0.00,1500.00
2024-02-22,REF-1041,Transferencia Interbancaria,800.00,0.00
2024-02-23,REF-1042,Deposito TEF,0.00,3200.00
2024-02-24,REF-1043,Compra POS,450.00,0.00
2024-02-25,REF-1044,Transferencia Enviada,1200.00,0.00
2024-02-26,REF-1045,Deposito Salvo Buen Cobro,0.00,5600.00
2024-02-27,REF-1046,Pago Domiciliado,2300.00,0.00
2024-02-28,REF-1047,Dispersion Nomina,25000.00,0.00
2024-02-29,REF-1048,Abono Cuenta,0.00,890.00
2024-03-01,REF-1049,Compra POS Gasolina,1100.00,0.00
2024-03-02,REF-1050,Transferencia Recibida,0.00,14500.00
2024-03-03,REF-1051,Cargo Automatico Seguro,3400.00,0.00
2024-03-04,REF-1052,Venta E-commerce,0.00,2100.00
2024-03-05,REF-1053,Cheque Pagado,6700.00,0.00
2024-03-06,REF-1054,Retiro Cajero,1500.00,0.00
2024-03-07,REF-1055,Deposito Cheque,0.00,4200.00
2024-03-08,REF-1056,Cargo Recurrente,500.00,0.00
2024-03-09,REF-1057,Cheque cobrado camara,2500.00,0.00
2024-03-10,REF-1058,Deposito Ventanilla,0.00,1500.00
2024-03-11,REF-1059,Transferencia Interbancaria,800.00,0.00
2024-03-12,REF-1060,Deposito TEF,0.00,3200.00
2024-03-13,REF-1061,Compra POS,450.00,0.00
2024-03-14,REF-1062,Transferencia Enviada,1200.00,0.00
2024-03-15,REF-1063,Deposito Salvo Buen Cobro,0.00,5600.00
2024-03-16,REF-1064,Pago Domiciliado,2300.00,0.00
2024-03-17,REF-1065,Dispersion Nomina,25000.00,0.00
2024-03-18,REF-1066,Abono Cuenta,0.00,890.00
2024-03-19,REF-1067,Compra POS Gasolina,1100.00,0.00
2024-03-20,REF-1068,Transferencia Recibida,0.00,14500.00
2024-03-21,REF-1069,Cargo Automatico Seguro,3400.00,0.00
2024-03-22,REF-1070,Venta E-commerce,0.00,2100.00
2024-03-23,REF-1071,Cheque Pagado,6700.00,0.00
2024-03-24,REF-1072,Retiro Cajero,1500.00,0.00
2024-03-25,REF-1073,Deposito Cheque,0.00,4200.00
2024-03-26,REF-1074,Cargo Recurrente,500.00,0.00
2024-03-27,REF-1075,Cheque cobrado camara,2500.00,0.00
2024-03-28,REF-1076,Deposito Ventanilla,0.00,1500.00
2024-03-29,REF-1077,Transferencia Interbancaria,800.00,0.00
2024-03-30,REF-1078,Deposito TEF,0.00,3200.00
2024-03-31,REF-1079,Compra POS,450.00,0.00
2024-04-02,REF-1080,Transferencia Enviada,1200.00,0.00
2024-04-03,REF-1081,Deposito Salvo Buen Cobro,0.00,5600.00
2024-04-04,REF-1082,Pago Domiciliado,2300.00,0.00
2024-04-05,REF-1083,Dispersion Nomina,25000.00,0.00
2024-04-06,REF-1084,Abono Cuenta,0.00,890.00
2024-04-07,REF-1085,Compra POS Gasolina,1100.00,0.00
2024-04-08,REF-1086,Transferencia Recibida,0.00,14500.00
2024-04-09,REF-1087,Cargo Automatico Seguro,3400.00,0.00
2024-04-10,REF-1088,Venta E-commerce,0.00,2100.00
2024-04-11,REF-1089,Cheque Pagado,6700.00,0.00
2024-04-12,REF-1090,Retiro Cajero,1500.00,0.00
2024-04-13,REF-1091,Deposito Cheque,0.00,4200.00
2024-04-14,REF-1092,Cargo Recurrente,500.00,0.00
2024-04-20,REF-2001,Comision Manejo Cuenta,250.00,0.00
2024-04-21,REF-2002,IVA Comision,40.00,0.00
2024-04-22,REF-2003,Intereses Ganados,0.00,35.00
2024-04-23,REF-2004,Cargo Desconocido,500.00,0.00
